text,intent,domain
Display top rows from farms,show_head,Agriculture
Get maximum yield from farms,aggregate_minmax,Agriculture
List accounts where profit is greater than 339,filter_condition,Finance
List grades where attendance is greater than 571,filter_condition,Education
Show all subjects with grade below 310,filter_condition,Education
Compute mean of amount for all accounts,aggregate_average,Finance
Arrange logs by uptime (high to low),sort_descending,Technology
Find highest errors among devices,aggregate_minmax,Technology
Filter batches having output equal to 669,filter_condition,Manufacturing
Filter records having heart rate equal to 239,filter_condition,Medical
Filter tickets having errors equal to 84,filter_condition,Technology
Display investments whose profit exceeds 17,filter_condition,Finance
List investments where balance is greater than 462,filter_condition,Finance
Show all transactions with balance below 629,filter_condition,Finance
List farms where yield is greater than 974,filter_condition,Agriculture
Sort devices by errors in ascending order,sort_ascending,Technology
Find total cost for all machines,aggregate_sum,Manufacturing
Show all machines with output below 163,filter_condition,Manufacturing
Filter farms having rainfall equal to 617,filter_condition,Agriculture
List accounts where profit is greater than 172,filter_condition,Finance
Filter harvests having area equal to 837,filter_condition,Agriculture
Visualize time-series of price,visualize_line_chart,Retail
Show all parts with output below 680,filter_condition,Manufacturing
Show all teams with goals below 337,filter_condition,Sports
List investments where amount is greater than 8,filter_condition,Finance
Find total score for all teams,aggregate_sum,Sports
Display investments whose profit exceeds 386,filter_condition,Finance
Display logs whose uptime exceeds 717,filter_condition,Technology
Filter tests having heart rate equal to 704,filter_condition,Medical
List farms where rainfall is greater than 462,filter_condition,Agriculture
List investments where balance is greater than 615,filter_condition,Finance
List records where age is greater than 604,filter_condition,Medical
List students where marks is greater than 862,filter_condition,Education
Display students whose marks exceeds 702,filter_condition,Education
Show all products with price below 956,filter_condition,Retail
Filter batches having runtime equal to 517,filter_condition,Manufacturing
Find highest score among games,aggregate_minmax,Sports
Display crops whose area exceeds 535,filter_condition,Agriculture
Find highest amount among transactions,aggregate_minmax,Finance
List tickets where response time is greater than 693,filter_condition,Technology
Filter records having blood pressure equal to 982,filter_condition,Medical
Display harvests whose yield exceeds 545,filter_condition,Agriculture
Filter machines having cost equal to 217,filter_condition,Manufacturing
Show all sales with price below 505,filter_condition,Retail
Show all products with price below 635,filter_condition,Retail
Filter parts having runtime equal to 74,filter_condition,Manufacturing
List records where age is greater than 22,filter_condition,Medical
Get minimum attendance from students,aggregate_minmax,Education
Display players whose goals exceeds 774,filter_condition,Sports
Show all games with score below 567,filter_condition,Sports
Find total profit for all accounts,aggregate_sum,Finance
Visualize time-series of balance,visualize_line_chart,Finance
Find highest goals among games,aggregate_minmax,Sports
Display students whose attendance exceeds 379,filter_condition,Education
Show all logs with errors below 785,filter_condition,Technology
Filter grades having attendance equal to 238,filter_condition,Education
Display harvests whose rainfall exceeds 87,filter_condition,Agriculture
Filter devices having response time equal to 287,filter_condition,Technology
Display students whose grade exceeds 79,filter_condition,Education
Show all logs with response time below 838,filter_condition,Technology
Display players whose score exceeds 483,filter_condition,Sports
Filter tests having blood pressure equal to 142,filter_condition,Medical
Show average heart rate by disease,groupby_aggregate,Medical
List tickets where uptime is greater than 693,filter_condition,Technology
Filter machines having output equal to 368,filter_condition,Manufacturing
Filter parts having runtime equal to 260,filter_condition,Manufacturing
List investments where amount is greater than 643,filter_condition,Finance
Display devices whose uptime exceeds 748,filter_condition,Technology
List orders where price is greater than 11,filter_condition,Retail
Get maximum response time from devices,aggregate_minmax,Technology
Display batches whose cost exceeds 959,filter_condition,Manufacturing
Filter machines having runtime equal to 90,filter_condition,Manufacturing
Display total balance per branch,groupby_aggregate,Finance
Show all investments with amount below 972,filter_condition,Finance
Filter subjects having grade equal to 356,filter_condition,Education
Display top rows from accounts,show_head,Finance
Show all games with goals below 808,filter_condition,Sports
Filter records having blood pressure equal to 359,filter_condition,Medical
List investments where amount is greater than 57,filter_condition,Finance
Filter machines having cost equal to 524,filter_condition,Manufacturing
Show all parts with cost below 172,filter_condition,Manufacturing
Show all games with score below 139,filter_condition,Sports
Filter teams having goals equal to 1000,filter_condition,Sports
Show all grades with attendance below 223,filter_condition,Education
Show all harvests with rainfall below 733,filter_condition,Agriculture
Display parts whose cost exceeds 165,filter_condition,Manufacturing
Filter machines having runtime equal to 176,filter_condition,Manufacturing
Display logs whose errors exceeds 897,filter_condition,Technology
List tickets where errors is greater than 630,filter_condition,Technology
Visualize marks distribution using bars,visualize_bar_chart,Education
Filter batches having cost equal to 990,filter_condition,Manufacturing
Filter products having quantity equal to 865,filter_condition,Retail
Display machines whose output exceeds 436,filter_condition,Manufacturing
List crops where yield is greater than 70,filter_condition,Agriculture
Display records whose heart rate exceeds 676,filter_condition,Medical
List records where blood pressure is greater than 517,filter_condition,Medical
Order machines from largest to smallest output,sort_descending,Manufacturing
Filter teams having score equal to 908,filter_condition,Sports
List investments where amount is greater than 963,filter_condition,Finance
Show all teams with score below 785,filter_condition,Sports
Filter harvests having yield equal to 621,filter_condition,Agriculture
Display logs whose errors exceeds 323,filter_condition,Technology
Get minimum discount from sales,aggregate_minmax,Retail
Display records whose heart rate exceeds 637,filter_condition,Medical
Show all products with price below 322,filter_condition,Retail
Show all records with age below 798,filter_condition,Medical
Find highest score among players,aggregate_minmax,Sports
Display tickets whose errors exceeds 675,filter_condition,Technology
List parts where cost is greater than 879,filter_condition,Manufacturing
Display farms whose area exceeds 911,filter_condition,Agriculture
Show all parts with output below 423,filter_condition,Manufacturing
Show all patients with blood pressure below 36,filter_condition,Medical
Show all farms with yield below 929,filter_condition,Agriculture
List subjects where attendance is greater than 174,filter_condition,Education
Order games from smallest to largest assists,sort_ascending,Sports
Display batches whose output exceeds 654,filter_condition,Manufacturing
Filter grades having grade equal to 420,filter_condition,Education
Show all teams with goals below 940,filter_condition,Sports
Filter students having marks equal to 946,filter_condition,Education
Filter players having goals equal to 852,filter_condition,Sports
List parts where output is greater than 434,filter_condition,Manufacturing
Arrange investments by profit (low to high),sort_ascending,Finance
Sort players by goals in descending order,sort_descending,Sports
Display subjects whose marks exceeds 135,filter_condition,Education
Display parts whose cost exceeds 918,filter_condition,Manufacturing
Filter machines having output equal to 295,filter_condition,Manufacturing
Display bottom rows from investments,show_tail,Finance
Filter sales having quantity equal to 941,filter_condition,Retail
Display products whose quantity exceeds 84,filter_condition,Retail
Display bottom rows from tickets,show_tail,Technology
Display parts whose cost exceeds 761,filter_condition,Manufacturing
Filter farms having yield equal to 462,filter_condition,Agriculture
Display grades whose attendance exceeds 680,filter_condition,Education
List parts where output is greater than 188,filter_condition,Manufacturing
List teams where goals is greater than 230,filter_condition,Sports
Filter tickets having response time equal to 709,filter_condition,Technology
Arrange batches by cost (high to low),sort_descending,Manufacturing
Display grades whose grade exceeds 60,filter_condition,Education
Filter subjects having marks equal to 753,filter_condition,Education
List harvests where rainfall is greater than 231,filter_condition,Agriculture
Filter investments having profit equal to 170,filter_condition,Finance
Filter grades having attendance equal to 820,filter_condition,Education
Calculate sum of uptime from devices,aggregate_sum,Technology
Show all sales with quantity below 572,filter_condition,Retail
List investments where amount is greater than 840,filter_condition,Finance
Filter players having assists equal to 904,filter_condition,Sports
Filter teams having score equal to 912,filter_condition,Sports
Find average assists among games,aggregate_average,Sports
List transactions where amount is greater than 403,filter_condition,Finance
Get maximum profit from accounts,aggregate_minmax,Finance
Filter records having blood pressure equal to 609,filter_condition,Medical
Get minimum errors from logs,aggregate_minmax,Technology
List crops where area is greater than 865,filter_condition,Agriculture
List parts where cost is greater than 721,filter_condition,Manufacturing
Find lowest blood pressure among records,aggregate_minmax,Medical
Display investments whose amount exceeds 871,filter_condition,Finance
Create bar chart for yield,visualize_bar_chart,Agriculture
Show average runtime by factory,groupby_aggregate,Manufacturing
List tests where age is greater than 217,filter_condition,Medical
Display harvests whose yield exceeds 817,filter_condition,Agriculture
Show last few records of players,show_tail,Sports
Filter accounts having profit equal to 465,filter_condition,Finance
List orders where discount is greater than 488,filter_condition,Retail
Create bar chart for price,visualize_bar_chart,Retail
Show all tickets with uptime below 537,filter_condition,Technology
Filter patients having blood pressure equal to 8,filter_condition,Medical
Display batches whose runtime exceeds 392,filter_condition,Manufacturing
List players where goals is greater than 540,filter_condition,Sports
Filter orders having discount equal to 673,filter_condition,Retail
Show last few records of accounts,show_tail,Finance
Filter devices having errors equal to 203,filter_condition,Technology
Show all harvests with yield below 74,filter_condition,Agriculture
Find average rainfall among farms,aggregate_average,Agriculture
Show all subjects with attendance below 987,filter_condition,Education
List products where discount is greater than 756,filter_condition,Retail
Filter teams having score equal to 322,filter_condition,Sports
Show all parts with output below 401,filter_condition,Manufacturing
Get maximum balance from accounts,aggregate_minmax,Finance
Filter logs having errors equal to 83,filter_condition,Technology
Display batches whose cost exceeds 81,filter_condition,Manufacturing
List devices where response time is greater than 668,filter_condition,Technology
Display machines whose runtime exceeds 325,filter_condition,Manufacturing
Sort accounts by balance in descending order,sort_descending,Finance
Arrange farms by yield (low to high),sort_ascending,Agriculture
Compute mean of age for all patients,aggregate_average,Medical
List devices where uptime is greater than 13,filter_condition,Technology
Display accounts whose amount exceeds 203,filter_condition,Finance
Filter players having assists equal to 337,filter_condition,Sports
Display accounts whose amount exceeds 404,filter_condition,Finance
List products where quantity is greater than 474,filter_condition,Retail
Show all tickets with uptime below 926,filter_condition,Technology
Filter subjects having marks equal to 720,filter_condition,Education
Filter players having score equal to 770,filter_condition,Sports
Filter subjects having marks equal to 951,filter_condition,Education
Filter devices having uptime equal to 215,filter_condition,Technology
List teams where assists is greater than 356,filter_condition,Sports
Show all patients with blood pressure below 801,filter_condition,Medical
Filter machines having output equal to 660,filter_condition,Manufacturing
List transactions where amount is greater than 869,filter_condition,Finance
Arrange transactions by amount (high to low),sort_descending,Finance
Show all transactions with balance below 258,filter_condition,Finance
Display investments whose amount exceeds 567,filter_condition,Finance
Filter teams having score equal to 801,filter_condition,Sports
Filter players having score equal to 340,filter_condition,Sports
Filter players having assists equal to 935,filter_condition,Sports
Sort investments by balance in descending order,sort_descending,Finance
Filter teams having goals equal to 748,filter_condition,Sports
Show all investments with amount below 307,filter_condition,Finance
Display transactions whose amount exceeds 388,filter_condition,Finance
Find lowest rainfall among farms,aggregate_minmax,Agriculture
Display teams whose assists exceeds 436,filter_condition,Sports
Arrange parts by runtime (high to low),sort_descending,Manufacturing
Display grades whose attendance exceeds 458,filter_condition,Education
List crops where area is greater than 319,filter_condition,Agriculture
Compute mean of area for all crops,aggregate_average,Agriculture
Display farms whose area exceeds 7,filter_condition,Agriculture
List sales where price is greater than 19,filter_condition,Retail
Filter sales having discount equal to 408,filter_condition,Retail
Display devices whose response time exceeds 123,filter_condition,Technology
List harvests where rainfall is greater than 959,filter_condition,Agriculture
Arrange games by goals (low to high),sort_ascending,Sports
Display grades whose grade exceeds 994,filter_condition,Education
Show all farms with yield below 597,filter_condition,Agriculture
Filter games having goals equal to 381,filter_condition,Sports
Display tests whose heart rate exceeds 923,filter_condition,Medical
Show all parts with runtime below 127,filter_condition,Manufacturing
Show all farms with area below 565,filter_condition,Agriculture
Filter transactions having balance equal to 332,filter_condition,Finance
Order grades from smallest to largest grade,sort_ascending,Education
Show all crops with yield below 61,filter_condition,Agriculture
List products where discount is greater than 831,filter_condition,Retail
Filter tickets having response time equal to 560,filter_condition,Technology
Sort teams by assists in ascending order,sort_ascending,Sports
Display products whose discount exceeds 363,filter_condition,Retail
Show all sales with quantity below 746,filter_condition,Retail
Show all logs with response time below 229,filter_condition,Technology
Filter patients having heart rate equal to 10,filter_condition,Medical
Filter accounts having balance equal to 974,filter_condition,Finance
Arrange accounts by profit (low to high),sort_ascending,Finance
Display farms whose area exceeds 407,filter_condition,Agriculture
Display machines whose output exceeds 183,filter_condition,Manufacturing
Filter crops having yield equal to 143,filter_condition,Agriculture
Calculate sum of age from patients,aggregate_sum,Medical
Show average errors by region,groupby_aggregate,Technology
Show all accounts with amount below 177,filter_condition,Finance
Show all games with score below 150,filter_condition,Sports
Show all devices with errors below 383,filter_condition,Technology
Order orders from smallest to largest discount,sort_ascending,Retail
Show all patients with age below 805,filter_condition,Medical
Arrange records by heart rate (low to high),sort_ascending,Medical
Display tests whose heart rate exceeds 743,filter_condition,Medical
Filter harvests having area equal to 636,filter_condition,Agriculture
Calculate sum of uptime from logs,aggregate_sum,Technology
Filter players having assists equal to 902,filter_condition,Sports
Find total age for all tests,aggregate_sum,Medical
Arrange teams by goals (high to low),sort_descending,Sports
Show all teams with score below 426,filter_condition,Sports
Order products from smallest to largest discount,sort_ascending,Retail
Display records whose blood pressure exceeds 197,filter_condition,Medical
Arrange players by assists (high to low),sort_descending,Sports
List farms where yield is greater than 482,filter_condition,Agriculture
Show all grades with marks below 738,filter_condition,Education
Compute mean of goals for all games,aggregate_average,Sports
Find average response time among logs,aggregate_average,Technology
Display tickets whose response time exceeds 118,filter_condition,Technology
Display parts whose output exceeds 111,filter_condition,Manufacturing
Order devices from smallest to largest uptime,sort_ascending,Technology
Show all sales with price below 581,filter_condition,Retail
List tickets where uptime is greater than 656,filter_condition,Technology
Show all transactions with balance below 930,filter_condition,Finance
Display batches whose runtime exceeds 629,filter_condition,Manufacturing
Show all students with attendance below 160,filter_condition,Education
Show average errors by device type,groupby_aggregate,Technology
Calculate sum of quantity from orders,aggregate_sum,Retail
Show all tickets with uptime below 727,filter_condition,Technology
Display investments whose balance exceeds 471,filter_condition,Finance
Show all investments with balance below 149,filter_condition,Finance
List tickets where errors is greater than 606,filter_condition,Technology
Find average blood pressure among records,aggregate_average,Medical
Get maximum rainfall from crops,aggregate_minmax,Agriculture
Display logs whose uptime exceeds 722,filter_condition,Technology
Display records whose age exceeds 857,filter_condition,Medical
Show all investments with amount below 49,filter_condition,Finance
Get maximum goals from players,aggregate_minmax,Sports
Sort grades by attendance in descending order,sort_descending,Education
Find highest yield among harvests,aggregate_minmax,Agriculture
Show all orders with price below 681,filter_condition,Retail
Display harvests whose area exceeds 126,filter_condition,Agriculture
Display accounts whose amount exceeds 991,filter_condition,Finance
Filter parts having output equal to 391,filter_condition,Manufacturing
Show all tickets with uptime below 68,filter_condition,Technology
List harvests where rainfall is greater than 832,filter_condition,Agriculture
Filter logs having response time equal to 777,filter_condition,Technology
List products where quantity is greater than 195,filter_condition,Retail
List harvests where yield is greater than 328,filter_condition,Agriculture
Show last few records of farms,show_tail,Agriculture
Filter batches having output equal to 179,filter_condition,Manufacturing
Display accounts whose profit exceeds 235,filter_condition,Finance
Display tickets whose uptime exceeds 63,filter_condition,Technology
Filter patients having age equal to 202,filter_condition,Medical
Find average errors among tickets,aggregate_average,Technology
Filter subjects having marks equal to 91,filter_condition,Education
Filter parts having output equal to 171,filter_condition,Manufacturing
List sales where discount is greater than 575,filter_condition,Retail
Filter orders having price equal to 759,filter_condition,Retail
Show all devices with errors below 956,filter_condition,Technology
Display patients whose age exceeds 60,filter_condition,Medical
Filter orders having discount equal to 123,filter_condition,Retail
List patients where blood pressure is greater than 796,filter_condition,Medical
List tickets where uptime is greater than 567,filter_condition,Technology
Find total goals for all games,aggregate_sum,Sports
Arrange transactions by balance (high to low),sort_descending,Finance
Get minimum assists from games,aggregate_minmax,Sports
List patients where heart rate is greater than 813,filter_condition,Medical
Display teams whose score exceeds 984,filter_condition,Sports
Filter harvests having yield equal to 87,filter_condition,Agriculture
List harvests where yield is greater than 431,filter_condition,Agriculture
Arrange crops by rainfall (high to low),sort_descending,Agriculture
Visualize time-series of quantity,visualize_line_chart,Retail
Display sales whose quantity exceeds 779,filter_condition,Retail
Display accounts whose profit exceeds 62,filter_condition,Finance
Filter investments having balance equal to 591,filter_condition,Finance
Show all subjects with marks below 361,filter_condition,Education
List records where age is greater than 473,filter_condition,Medical
Filter players having assists equal to 965,filter_condition,Sports
Filter orders having price equal to 424,filter_condition,Retail
List products where discount is greater than 408,filter_condition,Retail
Plot marks trend over time,visualize_line_chart,Education
Show all investments with profit below 6,filter_condition,Finance
List batches where output is greater than 677,filter_condition,Manufacturing
Display accounts whose profit exceeds 530,filter_condition,Finance
Display crops whose area exceeds 736,filter_condition,Agriculture
Display games whose score exceeds 238,filter_condition,Sports
Filter tests having age equal to 153,filter_condition,Medical
Show all grades with attendance below 7,filter_condition,Education
Display patients whose blood pressure exceeds 599,filter_condition,Medical
Show how many devices are in each region,groupby_count,Technology
Show all crops with rainfall below 187,filter_condition,Agriculture
Show all teams with assists below 821,filter_condition,Sports
Get maximum marks from students,aggregate_minmax,Education
Filter batches having cost equal to 705,filter_condition,Manufacturing
Show all sales with discount below 151,filter_condition,Retail
Show how many students are in each class,groupby_count,Education
Order tickets from largest to smallest errors,sort_descending,Technology
Show all batches with cost below 532,filter_condition,Manufacturing
Order players from smallest to largest assists,sort_ascending,Sports
Show first few records of parts,show_head,Manufacturing
Filter batches having output equal to 110,filter_condition,Manufacturing
List grades where marks is greater than 158,filter_condition,Education
Display teams whose assists exceeds 195,filter_condition,Sports
List batches where output is greater than 491,filter_condition,Manufacturing
Filter accounts having amount equal to 735,filter_condition,Finance
Find average grade among grades,aggregate_average,Education
Display subjects whose grade exceeds 630,filter_condition,Education
List parts where cost is greater than 681,filter_condition,Manufacturing
Display tickets whose response time exceeds 727,filter_condition,Technology
Show all patients with age below 761,filter_condition,Medical
Display harvests whose area exceeds 270,filter_condition,Agriculture
List subjects where attendance is greater than 940,filter_condition,Education
Show average blood pressure by disease,groupby_aggregate,Medical
Show all teams with score below 960,filter_condition,Sports
Display teams whose assists exceeds 419,filter_condition,Sports
Show all parts with runtime below 113,filter_condition,Manufacturing
Display subjects whose grade exceeds 523,filter_condition,Education
Show all logs with uptime below 573,filter_condition,Technology
Display subjects whose grade exceeds 80,filter_condition,Education
Display total grade per subject,groupby_aggregate,Education
List players where score is greater than 169,filter_condition,Sports
Find lowest runtime among machines,aggregate_minmax,Manufacturing
Show all farms with rainfall below 753,filter_condition,Agriculture
Show all subjects with attendance below 720,filter_condition,Education
Visualize age distribution using bars,visualize_bar_chart,Medical
List players where assists is greater than 819,filter_condition,Sports
Display patients whose heart rate exceeds 437,filter_condition,Medical
Filter harvests having yield equal to 558,filter_condition,Agriculture
Filter devices having errors equal to 452,filter_condition,Technology
Plot assists trend over time,visualize_line_chart,Sports
List accounts where amount is greater than 475,filter_condition,Finance
Compute mean of quantity for all sales,aggregate_average,Retail
Show all games with goals below 924,filter_condition,Sports
Filter tickets having response time equal to 366,filter_condition,Technology
Arrange patients by heart rate (low to high),sort_ascending,Medical
Show all accounts with amount below 558,filter_condition,Finance
Display subjects whose marks exceeds 683,filter_condition,Education
Filter logs having uptime equal to 220,filter_condition,Technology
Summarize the dataset,describe_data,Manufacturing
Order batches from smallest to largest runtime,sort_ascending,Manufacturing
Filter orders having price equal to 288,filter_condition,Retail
Show all harvests with yield below 401,filter_condition,Agriculture
Find average quantity among orders,aggregate_average,Retail
List orders where quantity is greater than 386,filter_condition,Retail
Display crops whose rainfall exceeds 351,filter_condition,Agriculture
Filter investments having amount equal to 365,filter_condition,Finance
Display batches whose cost exceeds 27,filter_condition,Manufacturing
Calculate sum of heart rate from records,aggregate_sum,Medical
Show available attributes in the data,show_columns,Agriculture
List accounts where profit is greater than 483,filter_condition,Finance
Find average age among tests,aggregate_average,Medical
List patients where age is greater than 681,filter_condition,Medical
Compute mean of errors for all tickets,aggregate_average,Technology
Filter farms having rainfall equal to 914,filter_condition,Agriculture
Display games whose assists exceeds 570,filter_condition,Sports
Show all games with score below 30,filter_condition,Sports
Display parts whose output exceeds 711,filter_condition,Manufacturing
Show all batches with runtime below 951,filter_condition,Manufacturing
List products where price is greater than 10,filter_condition,Retail
Calculate sum of runtime from batches,aggregate_sum,Manufacturing
Filter machines having output equal to 574,filter_condition,Manufacturing
List games where score is greater than 21,filter_condition,Sports
Filter games having score equal to 966,filter_condition,Sports
Display orders whose quantity exceeds 569,filter_condition,Retail
Get minimum amount from accounts,aggregate_minmax,Finance
Calculate sum of score from teams,aggregate_sum,Sports
Filter teams having assists equal to 462,filter_condition,Sports
Filter orders having price equal to 954,filter_condition,Retail
Filter batches having output equal to 415,filter_condition,Manufacturing
List crops where rainfall is greater than 311,filter_condition,Agriculture
Filter records having blood pressure equal to 167,filter_condition,Medical
Display sales whose price exceeds 443,filter_condition,Retail
Show all players with assists below 651,filter_condition,Sports
Filter players having goals equal to 535,filter_condition,Sports
Display transactions whose balance exceeds 236,filter_condition,Finance
Show average uptime by region,groupby_aggregate,Technology
Show all players with goals below 486,filter_condition,Sports
List products where discount is greater than 374,filter_condition,Retail
Filter logs having response time equal to 486,filter_condition,Technology
Display harvests whose yield exceeds 902,filter_condition,Agriculture
Display subjects whose grade exceeds 704,filter_condition,Education
Show all tests with heart rate below 410,filter_condition,Medical
List sales where quantity is greater than 631,filter_condition,Retail
Display orders whose price exceeds 39,filter_condition,Retail
Visualize amount distribution using bars,visualize_bar_chart,Finance
Show all investments with profit below 37,filter_condition,Finance
Show all records with age below 456,filter_condition,Medical
Show all accounts with profit below 364,filter_condition,Finance
Compute mean of uptime for all devices,aggregate_average,Technology
Filter logs having errors equal to 774,filter_condition,Technology
Order students from smallest to largest marks,sort_ascending,Education
Show how many students are in each subject,groupby_count,Education
Filter patients having heart rate equal to 245,filter_condition,Medical
Filter teams having score equal to 575,filter_condition,Sports
List orders where discount is greater than 33,filter_condition,Retail
Arrange harvests by rainfall (high to low),sort_descending,Agriculture
Show all crops with area below 12,filter_condition,Agriculture
Filter accounts having balance equal to 25,filter_condition,Finance
Sort parts by runtime in ascending order,sort_ascending,Manufacturing
Order investments from largest to smallest profit,sort_descending,Finance
Order teams from smallest to largest score,sort_ascending,Sports
Filter teams having goals equal to 947,filter_condition,Sports
Show all sales with price below 95,filter_condition,Retail
Show all students with marks below 932,filter_condition,Education
Arrange subjects by grade (low to high),sort_ascending,Education
Filter students having marks equal to 536,filter_condition,Education
Display crops whose yield exceeds 915,filter_condition,Agriculture
Filter subjects having attendance equal to 507,filter_condition,Education
Show all teams with score below 99,filter_condition,Sports
Show how many patients are in each department,groupby_count,Medical
List parts where cost is greater than 855,filter_condition,Manufacturing
List devices where response time is greater than 380,filter_condition,Technology
List games where assists is greater than 341,filter_condition,Sports
Show all harvests with area below 504,filter_condition,Agriculture
Display transactions whose balance exceeds 721,filter_condition,Finance
Filter harvests having area equal to 769,filter_condition,Agriculture
Display parts whose runtime exceeds 581,filter_condition,Manufacturing
Filter products having price equal to 438,filter_condition,Retail
Filter players having score equal to 607,filter_condition,Sports
Show all products with price below 871,filter_condition,Retail
Display transactions whose balance exceeds 647,filter_condition,Finance
List tickets where uptime is greater than 471,filter_condition,Technology
Filter teams having goals equal to 698,filter_condition,Sports
Display sales whose discount exceeds 945,filter_condition,Retail
Show all harvests with rainfall below 480,filter_condition,Agriculture
Filter grades having marks equal to 267,filter_condition,Education
Show all logs with errors below 302,filter_condition,Technology
Filter students having attendance equal to 776,filter_condition,Education
List transactions where amount is greater than 901,filter_condition,Finance
Filter transactions having profit equal to 781,filter_condition,Finance
Find total goals for all teams,aggregate_sum,Sports
Filter parts having cost equal to 674,filter_condition,Manufacturing
List tests where heart rate is greater than 950,filter_condition,Medical
Filter subjects having grade equal to 54,filter_condition,Education
Display batches whose runtime exceeds 524,filter_condition,Manufacturing
Display teams whose assists exceeds 124,filter_condition,Sports
Arrange sales by discount (high to low),sort_descending,Retail
Display entire dataset,show_all,Medical
List products where quantity is greater than 833,filter_condition,Retail
Filter investments having balance equal to 39,filter_condition,Finance
Filter accounts having balance equal to 267,filter_condition,Finance
Show all games with score below 655,filter_condition,Sports
Filter orders having price equal to 226,filter_condition,Retail
Filter patients having blood pressure equal to 358,filter_condition,Medical
Show all sales with discount below 739,filter_condition,Retail
Filter teams having score equal to 123,filter_condition,Sports
Sort students by attendance in ascending order,sort_ascending,Education
Show all tickets with response time below 172,filter_condition,Technology
Display total quantity per category,groupby_aggregate,Retail
Display parts whose cost exceeds 407,filter_condition,Manufacturing
Display grades whose marks exceeds 654,filter_condition,Education
Create bar chart for amount,visualize_bar_chart,Finance
Filter students having marks equal to 119,filter_condition,Education
List transactions where amount is greater than 295,filter_condition,Finance
List grades where attendance is greater than 599,filter_condition,Education
Arrange orders by discount (low to high),sort_ascending,Retail
Show all players with assists below 903,filter_condition,Sports
List investments where profit is greater than 564,filter_condition,Finance
Find total attendance for all subjects,aggregate_sum,Education
List subjects where grade is greater than 339,filter_condition,Education
List teams where assists is greater than 730,filter_condition,Sports
Display investments whose amount exceeds 461,filter_condition,Finance
Filter transactions having amount equal to 181,filter_condition,Finance
Compute mean of assists for all players,aggregate_average,Sports
Filter games having goals equal to 299,filter_condition,Sports
Display transactions whose profit exceeds 858,filter_condition,Finance
List patients where blood pressure is greater than 729,filter_condition,Medical
Arrange patients by age (low to high),sort_ascending,Medical
Display orders whose quantity exceeds 287,filter_condition,Retail
Arrange games by score (high to low),sort_descending,Sports
Arrange teams by score (low to high),sort_ascending,Sports
Display records whose blood pressure exceeds 483,filter_condition,Medical
Sort tests by heart rate in ascending order,sort_ascending,Medical
Show all games with assists below 187,filter_condition,Sports
Display farms whose rainfall exceeds 548,filter_condition,Agriculture
Display teams whose goals exceeds 568,filter_condition,Sports
Display farms whose area exceeds 679,filter_condition,Agriculture
Arrange accounts by amount (low to high),sort_ascending,Finance
Show all teams with goals below 41,filter_condition,Sports
Display logs whose response time exceeds 275,filter_condition,Technology
List devices where errors is greater than 679,filter_condition,Technology
Show all harvests with rainfall below 369,filter_condition,Agriculture
Filter crops having rainfall equal to 599,filter_condition,Agriculture
Filter orders having quantity equal to 332,filter_condition,Retail
Calculate sum of score from games,aggregate_sum,Sports
Sort grades by attendance in ascending order,sort_ascending,Education
Arrange records by blood pressure (high to low),sort_descending,Medical
Display farms whose yield exceeds 358,filter_condition,Agriculture
List sales where price is greater than 947,filter_condition,Retail
Display teams whose score exceeds 754,filter_condition,Sports
Arrange tests by age (low to high),sort_ascending,Medical
Show all teams with score below 254,filter_condition,Sports
Filter crops having yield equal to 979,filter_condition,Agriculture
Filter records having heart rate equal to 438,filter_condition,Medical
Display patients whose age exceeds 935,filter_condition,Medical
List records where age is greater than 979,filter_condition,Medical
Show all sales with price below 905,filter_condition,Retail
Find total profit for all transactions,aggregate_sum,Finance
Show all games with score below 672,filter_condition,Sports
Find lowest output among parts,aggregate_minmax,Manufacturing
Arrange parts by cost (low to high),sort_ascending,Manufacturing
Display students whose grade exceeds 413,filter_condition,Education
Show all crops with area below 928,filter_condition,Agriculture
Filter students having marks equal to 872,filter_condition,Education
Show last few records of products,show_tail,Retail
Display subjects whose grade exceeds 793,filter_condition,Education
Compute mean of area for all farms,aggregate_average,Agriculture
List players where assists is greater than 72,filter_condition,Sports
Show all teams with score below 582,filter_condition,Sports
Show statistical overview of the data,describe_data,Manufacturing
Filter transactions having profit equal to 503,filter_condition,Finance
Show all teams with score below 805,filter_condition,Sports
Show all devices with response time below 233,filter_condition,Technology
Visualize time-series of runtime,visualize_line_chart,Manufacturing
Display devices whose errors exceeds 311,filter_condition,Technology
Show all investments with balance below 620,filter_condition,Finance
Display accounts whose amount exceeds 614,filter_condition,Finance
Show all sales with price below 570,filter_condition,Retail
Filter crops having yield equal to 767,filter_condition,Agriculture
Show all accounts with balance below 514,filter_condition,Finance
Filter patients having heart rate equal to 389,filter_condition,Medical
List harvests where rainfall is greater than 329,filter_condition,Agriculture
List players where score is greater than 855,filter_condition,Sports
Filter investments having amount equal to 649,filter_condition,Finance
Filter teams having score equal to 26,filter_condition,Sports
Show all students with grade below 717,filter_condition,Education
List crops where area is greater than 241,filter_condition,Agriculture
Sort machines by cost in descending order,sort_descending,Manufacturing
Compute mean of uptime for all tickets,aggregate_average,Technology
Order logs from smallest to largest errors,sort_ascending,Technology
Sort subjects by marks in ascending order,sort_ascending,Education
Display grades whose attendance exceeds 920,filter_condition,Education
