Temperature(°C),Humidity(%),Average_Weight(g),Accel_X(m/s²),Accel_Y(m/s²),Accel_Z(m/s²),Average_RPM
33.62,89.17,255.31,5.65,-2.12,2.49,1661.08
40.65,76.2,308.24,9.52,3.53,1.88,808.07
24.22,85.2,166.24,0.88,7.61,6.24,605.98
34.57,58.56,327.95,-1.66,-7.46,-8.09,415.57
20.83,88.88,265.66,7.21,4.7,4.03,1744.47
35.16,55.71,340.12,9.39,8.37,-3.38,1436.66
48.92,54.05,179.63,-7.42,-1.54,-7.41,153.8
31.53,54.49,348.71,1.56,-4.27,4.64,1426.98
21.17,72.93,278.85,5.85,3.55,-3.37,70.03
20.93,81.24,263.5,0.67,-5.08,4.6,363.25
31.64,64.67,253.06,-1.82,-2.31,-6.75,1185.6
24.8,89.12,154.73,3.1,7.94,9.72,927.02
20.7,67.38,337.93,-4.6,1.81,6.07,1680.97
42.69,56.02,278.8,-3.02,-8.1,-4.22,1215.78
33.76,68.64,168.33,9.85,-3.41,4.81,1929.95
28.68,77.16,154.19,2.73,2.55,-7.28,1710.37
47.0,83.29,160.16,7.46,-0.37,3.07,680.43
23.48,68.35,271.88,6.16,3.21,-8.81,1668.3
48.68,73.74,272.8,3.05,5.23,-3.33,1739.87
29.42,60.69,249.93,6.81,-0.39,9.57,1939.45
46.65,75.84,211.35,-4.26,9.74,-7.58,25.13
38.09,89.44,256.35,2.74,8.29,1.95,1749.49
44.8,51.96,253.26,1.81,-8.8,-8.59,139.79
49.52,85.46,153.88,2.45,-4.67,3.39,1056.23
28.65,72.49,206.49,-6.63,-3.99,-4.43,829.33
48.83,44.56,160.64,-4.46,-6.31,-3.8,1839.76
31.68,88.2,330.03,-4.27,-3.76,-3.24,810.3
31.57,69.33,295.04,2.04,-1.5,-5.9,1192.09
30.21,63.27,349.22,9.45,-8.97,8.83,1383.76
36.24,57.26,210.43,9.08,-7.45,8.12,38.06
24.62,59.78,325.7,-5.46,-8.08,7.4,1181.86
36.61,83.31,270.61,-3.9,-9.07,-7.87,1035.98
36.25,74.58,240.63,-9.28,-0.37,-5.33,1188.02
42.86,86.53,194.51,-2.02,-3.32,2.24,151.49
45.01,59.28,297.68,6.69,8.71,9.41,111.12
33.21,54.85,330.83,8.32,-7.94,2.1,355.09
29.07,50.24,197.06,-5.27,8.52,-3.46,1739.0
27.78,70.31,185.08,-4.68,-8.27,6.35,712.94
25.84,89.93,289.24,-5.58,2.38,-7.29,868.07
21.73,77.8,345.39,-3.0,-5.05,7.63,780.33
30.27,62.34,299.99,6.1,6.54,9.49,1428.74
28.11,85.07,206.92,2.94,-8.77,9.35,518.95
48.99,81.27,233.99,5.72,9.05,-7.05,136.79
36.73,50.62,226.86,1.66,-9.05,0.99,756.35
30.42,82.67,320.42,-4.85,-5.18,1.7,1455.67
37.41,62.02,304.27,-5.44,-0.72,-6.1,1829.94
24.18,95.86,267.8,-9.82,5.12,0.94,101.64
33.32,59.05,204.99,5.62,9.02,2.93,1620.99
38.79,68.74,337.6,6.94,-1.44,-3.42,132.36
34.67,66.99,280.66,5.37,5.15,-3.69,661.32
32.05,61.56,344.1,-8.51,4.54,-8.8,44.6
49.82,56.89,266.02,5.24,1.42,9.14,1823.08
46.41,80.49,314.24,-9.08,3.82,6.07,1413.58
38.7,89.6,312.62,-7.89,-9.24,5.19,738.27
37.08,81.11,217.47,-1.19,-1.17,-9.56,754.91
38.62,61.84,342.8,-0.48,5.72,2.49,1279.69
26.04,59.79,154.39,6.32,-0.52,-6.39,179.3
31.85,58.71,303.74,3.59,7.47,3.23,290.1
21.18,55.47,343.11,-6.93,6.67,2.42,1694.45
34.27,72.05,217.78,-5.48,7.27,7.04,404.63
36.29,74.22,279.62,-4.29,-7.4,-4.89,1453.33
26.83,78.22,262.44,-7.53,-5.12,-9.45,451.61
48.92,77.21,302.3,-4.25,-9.41,8.28,176.29
47.28,61.69,323.24,4.57,9.66,8.17,1800.06
41.66,63.21,270.61,-5.17,-5.28,-0.88,1803.35
36.0,77.26,313.18,6.71,-2.66,-8.44,1210.62
46.1,63.98,212.46,-0.61,-4.5,-0.04,924.07
23.92,58.5,195.72,-3.54,-9.2,0.48,1105.52
18.85,64.97,236.13,-1.75,-4.77,6.43,816.25
23.74,60.88,285.55,4.19,-8.04,4.34,1514.35
43.83,53.53,187.45,0.34,-2.11,-8.58,1509.12
28.27,83.21,286.07,-9.85,9.34,4.11,1637.96
46.31,84.12,228.82,8.45,3.97,-7.29,1045.85
48.32,58.79,309.12,-8.68,4.14,-8.21,1602.68
24.46,52.59,157.37,8.77,-0.94,-2.03,311.44
33.88,79.55,283.6,-9.44,6.23,-8.45,60.27
49.43,58.46,279.96,5.42,8.17,6.59,1296.11
34.5,65.74,338.19,0.69,9.23,-0.74,210.95
45.91,52.57,292.67,0.11,-8.02,1.74,1101.34
37.66,59.05,309.26,-8.54,7.59,1.54,1442.25
31.26,81.72,330.92,-5.23,-5.5,9.56,814.17
28.57,82.18,285.01,5.55,-2.05,8.32,87.75
26.1,58.28,208.03,7.83,-3.09,6.98,1774.26
42.85,63.44,323.95,0.58,3.5,-2.33,86.49
31.6,55.37,299.52,-2.93,1.96,-7.1,1809.51
35.34,52.97,234.89,-8.8,-7.82,1.84,105.26
34.77,89.69,292.11,3.64,5.66,-1.19,1470.32
37.32,76.22,323.54,-4.43,-1.21,-5.49,1849.69
45.97,71.68,345.13,-8.9,-9.96,-8.05,-110.99
49.42,80.62,340.47,3.32,-1.71,-1.28,1786.77
32.23,83.6,215.07,-0.29,0.33,3.02,1766.16
44.83,82.27,234.34,-9.76,-8.62,2.51,1020.82
42.94,50.66,171.91,-7.78,-6.98,5.48,1115.38
37.21,57.47,199.51,3.98,9.87,-0.67,1239.43
48.68,76.2,326.48,-8.73,7.42,-3.57,1791.9
26.01,65.03,222.17,7.32,-7.33,0.77,1676.32
23.28,89.3,274.11,-3.77,1.61,9.5,1565.96
45.62,76.62,283.19,-8.23,-2.42,-9.1,1351.45
33.17,88.26,306.37,5.2,0.87,0.57,1236.77
45.41,58.06,186.56,0.49,-0.59,-3.41,1844.93
46.79,84.56,210.96,-3.87,-9.04,-7.89,385.29
21.87,62.85,239.67,-1.88,-3.69,-1.31,385.45
46.5,89.58,222.97,-9.57,-7.49,2.82,1964.94
33.45,56.31,346.58,3.25,-0.22,0.56,1106.32
35.31,70.65,316.99,-2.68,8.15,-9.42,966.75
38.8,81.71,245.94,4.28,9.91,1.58,1701.19
47.79,67.31,325.85,6.59,-4.31,-16.49,1699.54
20.57,68.72,219.53,3.03,9.71,-3.17,353.2
34.31,89.45,307.17,5.86,-9.7,-3.76,347.14
40.63,67.01,194.74,2.62,4.59,7.17,1590.53
41.68,74.16,304.46,-1.63,-4.54,-9.05,1571.26
40.78,52.18,241.29,-2.2,7.31,-3.04,450.37
24.03,83.69,171.5,-7.61,6.27,-2.1,1683.02
28.98,75.93,204.65,5.59,-1.53,2.38,960.1
30.76,66.16,230.45,5.22,-0.53,5.78,939.98
44.13,50.65,299.86,-5.07,-4.7,4.55,1971.39
28.36,73.67,164.6,7.25,-4.22,5.05,1038.43
26.32,50.51,281.91,1.78,9.62,-6.15,274.09
48.72,50.05,293.2,-0.43,7.78,8.23,560.31
20.27,74.64,280.78,-9.65,-6.16,-1.72,667.36
49.93,57.56,302.13,-2.35,-4.49,-9.78,1916.93
40.3,57.68,185.63,2.81,-7.83,3.36,528.07
44.85,76.13,267.42,-8.21,9.78,2.08,860.81
28.84,52.15,338.23,-0.81,8.14,-7.48,1499.27
20.43,62.54,272.16,9.87,1.04,9.2,548.19
42.14,55.98,272.27,4.33,3.86,1.23,1403.28
45.02,73.21,297.29,0.94,4.96,-0.61,415.04
42.21,76.47,216.64,0.66,-5.92,-2.04,485.03
24.29,78.85,290.1,-9.12,8.69,-5.8,1972.66
42.6,60.21,333.25,9.15,0.53,9.06,737.89
43.07,53.57,152.18,8.56,-8.15,4.04,1459.37
39.76,53.15,497.15,3.65,-2.06,1.35,1680.13
42.98,67.05,193.72,-8.02,2.03,2.62,693.7
45.38,87.83,241.18,-5.84,-2.94,6.81,714.34
38.41,58.71,320.47,-6.32,3.98,2.71,-110.99
22.66,60.27,314.78,0.39,7.64,-7.71,1214.0
34.63,54.04,328.39,-5.84,5.44,3.95,723.5
22.33,74.22,338.08,3.92,2.85,1.3,1499.13
32.23,77.19,239.43,0.9,0.24,9.33,1727.41
32.21,75.72,281.27,-9.65,-4.91,4.67,470.08
21.98,84.45,228.1,4.88,-0.9,-3.12,48.71
30.46,69.46,220.14,-6.22,-4.14,-7.29,548.29
23.33,55.38,236.32,6.5,8.68,-0.35,1348.98
44.25,61.58,298.62,-2.9,8.15,3.59,1830.5
48.43,95.86,250.29,-3.23,-6.88,-6.45,1726.13
22.17,74.52,312.81,-9.76,6.45,2.99,444.34
48.65,71.24,299.04,9.75,4.06,6.51,1762.0
35.68,77.32,154.1,2.24,9.5,-6.86,1621.46
28.99,75.5,276.05,-1.55,-0.73,4.12,1468.8
22.31,85.25,237.31,-8.07,4.44,-8.63,1376.45
35.02,73.44,241.33,3.98,0.36,-9.84,1614.18
43.84,81.14,313.67,-4.35,-8.61,-9.35,1723.46
41.21,59.95,259.52,9.77,-9.06,2.63,1638.22
21.51,77.13,327.12,9.01,-7.56,9.47,243.7
22.19,86.09,292.56,4.71,-4.08,5.43,1444.31
32.09,65.43,260.57,9.42,-4.82,-4.91,1682.61
28.86,81.16,300.91,-7.89,4.57,-8.57,371.41
26.97,78.99,157.67,-4.4,4.32,2.33,427.6
28.43,52.38,155.42,-4.94,9.43,-9.94,1571.95
44.1,73.26,166.67,-8.56,-3.79,5.85,687.86
47.88,55.21,237.51,9.44,8.77,-5.14,799.4
32.15,88.69,197.09,-8.8,2.26,-4.02,754.32
47.18,82.46,346.85,7.13,-0.09,-3.12,425.67
29.64,54.39,258.46,5.36,3.36,5.27,1877.59
34.29,54.87,282.48,-2.48,4.06,-4.69,1611.72
26.78,73.78,205.76,-9.62,-6.56,-4.31,501.08
39.21,63.8,214.36,-9.88,5.03,0.82,-110.99
49.37,51.4,217.09,-5.92,4.5,-0.74,745.22
38.1,71.67,289.75,-0.12,9.95,9.11,830.62
30.73,65.51,244.74,-0.84,8.24,-4.73,14.18
39.43,54.04,253.54,1.71,3.69,-8.16,1774.3
23.69,82.08,268.4,5.44,4.25,0.82,1702.57
46.66,86.6,303.76,-2.45,8.92,-6.31,1700.33
35.09,80.26,168.07,-6.79,9.34,-1.73,1611.61
33.48,82.9,305.37,6.0,6.54,-6.26,1466.25
37.58,58.66,262.65,-3.35,5.35,7.62,1269.04
38.74,60.54,283.82,-4.26,-7.77,-3.45,1920.58
22.15,58.34,215.51,5.29,6.61,5.5,1423.46
40.48,80.6,231.88,8.68,-4.94,8.97,1260.49
27.26,87.92,196.23,8.3,1.28,8.81,1577.65
41.42,78.67,345.86,-7.25,-1.89,0.5,492.53
44.68,85.26,249.4,0.06,-3.09,9.67,1934.29
44.12,75.55,349.22,-18.73,-10.74,2.05,38.32
36.58,65.51,247.96,9.22,7.11,-7.43,1296.81
35.61,67.03,193.95,-5.7,5.38,7.77,154.19
24.29,53.01,251.49,-6.05,0.47,-0.63,1706.61
43.26,51.26,157.92,7.78,3.29,-6.95,1935.28
28.14,77.82,330.95,9.36,9.69,5.83,817.22
34.9,67.54,313.71,3.95,-2.05,2.49,1714.33
28.53,72.09,295.16,-7.58,1.02,7.64,671.44
24.01,72.31,271.97,-0.28,0.67,6.55,318.81
38.89,61.1,265.97,6.33,8.72,-3.6,553.3
21.63,69.04,349.35,1.45,-2.97,-4.87,603.68
42.46,68.83,205.6,-7.35,9.73,4.68,1261.34
29.53,65.54,305.94,-6.56,-3.91,1.47,1592.3
20.0,82.83,266.28,7.28,-7.82,-8.6,410.43
35.33,68.05,345.18,0.54,-6.17,-6.37,176.41
21.41,74.15,315.56,4.12,-1.48,-6.97,443.3
28.29,85.82,349.71,-2.54,3.0,1.8,593.08
41.21,84.65,267.66,0.65,0.34,-8.28,559.63
21.88,85.62,190.91,9.54,-2.47,-5.85,439.9
45.18,60.8,250.74,-3.41,1.24,0.91,932.0
20.11,51.4,292.22,3.5,6.78,-7.34,1711.97
27.4,60.44,304.87,-6.55,6.78,-5.03,2723.02
42.23,61.15,150.1,-7.57,4.52,8.14,1724.06
29.49,86.37,251.01,5.67,9.05,3.94,994.02
23.06,75.97,197.05,6.88,1.8,-3.86,1320.94
30.81,53.27,324.98,3.37,-9.85,7.55,1630.73
28.11,55.42,180.58,-6.84,-4.18,-4.99,608.65
45.28,56.23,283.29,-5.19,-3.44,1.78,1908.47
29.4,75.22,203.21,8.22,0.95,-2.63,167.47
43.67,79.42,221.31,-4.23,8.1,5.04,1055.33
46.76,84.39,338.11,6.38,6.76,-2.57,509.61
33.01,87.63,198.09,-4.28,-5.36,-5.02,815.89
47.3,58.07,169.0,8.79,0.39,2.15,897.73
31.32,62.39,163.86,8.29,3.18,4.91,1829.02
48.92,59.61,250.92,-9.13,9.75,0.73,883.16
22.68,64.35,278.34,5.41,-9.37,4.33,1395.9
40.61,86.59,215.46,-6.61,-0.72,-1.56,1903.53
34.81,73.0,288.05,-5.69,9.76,5.91,989.07
31.63,79.53,162.21,-0.8,9.54,1.7,816.62
38.98,69.6,321.47,1.53,-3.39,-6.08,1945.94
41.12,51.15,313.31,-3.48,-10.0,7.82,1655.35
20.13,52.57,347.1,1.51,1.73,6.74,1879.55
25.01,71.52,337.3,-6.59,7.34,9.28,794.45
41.39,78.75,497.15,-9.55,-3.51,1.38,1392.65
39.99,58.61,229.86,1.42,8.69,3.51,499.22
48.98,78.88,299.19,0.35,-3.35,7.27,1731.64
42.83,82.43,176.82,3.79,2.2,-8.95,1866.16
48.52,66.48,212.8,3.0,4.44,8.24,535.73
41.08,79.86,173.71,7.95,-3.09,-4.58,209.86
28.94,66.16,240.98,-0.81,-2.96,-8.86,401.47
23.16,77.13,260.4,-9.83,-0.6,-5.25,1265.66
43.45,80.56,192.23,2.61,6.7,1.73,544.37
39.32,89.68,155.33,3.5,-7.98,-9.04,1277.22
21.45,63.82,293.87,0.43,2.63,-9.98,700.38
30.8,66.44,154.0,3.79,3.55,2.79,1833.67
48.7,56.62,344.68,-3.53,1.16,-0.93,905.2
35.01,58.16,194.32,-7.02,8.72,6.89,995.24
32.98,77.74,282.78,3.29,2.04,-4.85,696.13
33.73,86.68,236.95,-5.1,2.69,-4.39,146.08
26.27,65.78,161.93,-0.87,2.0,-8.45,987.27
31.06,57.19,244.44,-0.17,4.44,0.77,1548.73
31.09,61.4,253.35,-0.46,-7.29,-2.68,1906.03
21.57,68.2,320.94,1.97,7.89,-3.21,153.15
43.03,61.63,296.47,-9.41,-9.15,-0.85,1594.8
32.5,59.34,165.86,9.79,2.81,6.99,534.12
44.67,79.44,191.83,4.33,2.31,-7.9,1645.63
45.51,50.31,212.38,-1.49,-5.84,0.47,684.03
26.36,71.57,173.28,-6.17,-9.19,-6.07,228.87
39.72,81.75,241.38,-8.4,-7.22,-5.75,1224.04
34.17,60.65,346.86,3.44,-4.57,-4.87,1787.81
46.4,74.13,252.92,-3.66,7.64,-0.81,363.18
26.47,76.76,298.38,-5.41,7.11,-0.11,43.61
40.33,76.2,286.59,-2.4,-8.72,7.43,1767.68
38.23,67.83,319.98,1.86,-4.21,7.84,2723.02
28.86,63.86,193.14,3.43,7.79,1.73,1617.39
24.1,83.44,300.77,2.9,-5.27,-4.37,119.68
39.55,80.34,326.27,7.27,9.92,6.37,1780.91
42.16,62.85,184.3,-5.62,-4.86,5.86,838.31
29.47,54.12,219.36,2.73,4.78,5.96,1795.23
39.34,52.87,344.02,-7.98,-1.66,-9.67,129.85
31.85,53.77,306.16,0.96,-7.28,5.08,1769.62
41.4,73.31,206.52,1.68,-4.9,7.05,1346.75
25.98,52.07,262.79,-5.68,3.5,2.1,1108.54
46.71,63.48,230.87,-2.17,-3.26,5.02,123.56
28.62,80.13,247.99,9.84,-6.34,2.45,1376.84
31.03,61.77,221.03,-7.03,-5.89,0.13,1195.55
21.74,80.53,205.87,-1.31,-1.03,6.27,1452.58
23.35,79.82,284.95,8.65,0.24,5.85,1433.43
35.48,59.83,305.71,0.08,-1.74,8.32,887.47
28.03,79.15,324.79,4.5,-6.04,8.43,409.36
45.06,79.91,181.07,6.54,-0.77,0.59,1837.94
20.44,65.9,314.57,-5.92,3.86,-9.37,1851.18
31.37,58.42,200.96,-5.64,9.3,-9.62,423.86
30.12,70.85,235.47,5.17,5.79,8.78,1261.31
20.58,86.86,330.29,5.07,-6.77,-3.25,405.74
23.73,75.58,240.9,-8.8,-4.55,-2.45,1722.45
32.41,56.92,189.41,-3.55,-8.42,-0.6,196.43
34.79,77.31,75.22,-2.03,-7.29,-4.68,1980.39
18.85,67.09,244.6,6.58,-4.99,1.81,1221.72
35.93,73.66,302.53,-1.56,-6.01,5.69,45.83
37.85,79.36,349.44,8.52,-5.73,-4.85,1763.81
20.3,70.6,307.48,9.93,-5.38,4.86,1368.92
33.92,82.56,325.4,5.61,-3.99,3.44,1394.64
48.9,78.89,299.57,3.33,-7.49,0.51,550.06
35.57,74.6,329.09,-2.16,-4.44,-3.49,673.59
40.33,56.03,165.26,-8.66,3.77,7.46,1828.83
29.36,83.44,335.99,1.46,-5.27,-1.94,1269.92
43.22,87.44,229.28,-2.77,-6.56,-2.51,33.91
43.19,55.48,334.32,-2.98,-8.65,2.83,654.81
35.64,69.53,165.15,3.75,-0.0,8.41,1197.09
49.28,60.36,293.05,-0.73,6.84,0.16,296.01
23.77,80.18,297.14,5.04,-8.82,4.45,196.58
20.51,78.87,349.38,-2.04,0.85,-0.86,118.77
43.1,55.64,303.77,-6.98,3.01,-5.62,1261.16
44.21,85.08,226.51,-0.77,1.85,-7.52,641.19
23.61,57.24,261.45,9.02,7.55,-7.27,747.36
27.97,81.89,223.31,6.03,7.33,-9.57,120.08
20.53,68.28,189.2,-5.89,-8.85,1.06,1476.04
28.8,63.13,199.7,-2.17,-2.78,-7.38,1533.51
43.19,56.33,194.4,8.56,3.42,7.31,1658.87
35.54,56.7,259.76,-7.53,9.05,9.66,1303.33
30.44,76.48,331.23,-4.92,6.09,-0.08,1546.58
31.15,72.02,332.55,-4.76,-6.47,-1.01,1154.45
20.04,54.88,160.95,1.42,-4.42,-3.04,983.27
28.99,54.51,165.98,-1.79,5.27,2.76,519.63
39.39,52.89,199.02,-8.4,-0.57,2.16,106.76
49.23,79.75,201.01,2.58,0.95,-3.13,583.64
45.41,78.48,168.98,-8.02,2.18,-3.14,1367.25
20.71,52.34,227.69,2.13,-7.93,2.9,1853.67
46.96,72.41,267.55,0.14,7.12,1.09,512.43
43.5,53.39,265.63,-0.13,7.26,4.37,1339.7
43.41,86.15,258.69,-8.65,-0.64,8.83,956.49
18.85,86.28,217.73,2.78,2.54,5.59,1255.1
31.94,77.93,497.15,-1.37,3.2,-3.91,3.24
29.09,44.56,315.3,-1.78,-6.21,5.18,245.31
21.97,82.46,219.25,1.93,-7.75,-1.0,434.04
26.85,83.14,167.11,2.12,-9.59,5.55,1786.9
27.4,72.79,209.27,-9.7,8.26,7.73,81.06
34.52,62.24,177.47,-7.5,-3.09,-5.0,1139.27
42.42,58.71,243.47,-5.27,-8.28,-5.23,1857.28
34.21,63.09,181.19,3.56,-0.68,-1.35,1304.14
21.74,75.14,242.57,1.53,-8.49,-8.97,968.81
48.73,56.91,194.2,5.15,-8.29,3.71,771.98
48.28,60.35,297.75,-9.9,6.94,-17.57,1248.39
43.56,68.72,155.51,7.06,0.18,-3.09,960.77
49.74,59.32,260.95,-2.46,1.6,-0.69,1410.82
36.33,73.55,183.9,-3.1,3.13,1.81,1235.55
48.88,86.93,150.2,6.62,3.37,-8.53,1134.82
22.27,79.92,323.84,-5.25,-1.34,4.23,1913.62
30.97,76.66,284.31,-0.78,2.87,0.53,1671.38
26.76,73.31,169.79,-6.11,-3.91,2.49,1217.72
25.87,69.52,282.81,8.28,-1.17,4.48,1077.3
24.22,57.46,272.33,-1.84,-2.13,3.51,1447.89
38.67,85.79,244.67,-5.75,-3.42,-8.09,1607.83
43.44,59.94,75.22,3.84,-5.23,5.65,590.47
37.35,53.65,327.41,-5.11,-8.43,2.2,1333.89
24.41,80.0,199.03,8.87,0.12,4.3,270.31
44.33,57.02,229.66,-2.65,0.75,-4.77,860.9
39.08,64.88,215.82,3.29,-3.28,-5.57,1876.87
31.64,51.13,304.24,-3.1,9.52,6.52,652.6
40.22,55.48,333.29,6.14,1.14,-2.19,308.47
27.8,56.93,319.96,7.94,7.78,1.51,292.29
30.36,52.18,309.54,5.76,1.4,1.03,787.46
47.52,95.86,347.36,6.97,-6.2,1.7,450.35
28.72,83.48,289.43,-7.96,9.49,-8.61,853.84
34.1,64.93,75.22,8.48,7.71,-3.95,1437.77
46.7,84.98,346.56,2.49,-0.57,-8.67,1776.32
41.23,58.53,151.4,7.38,-5.14,-0.4,220.33
21.87,63.02,276.81,3.69,-5.55,8.04,1536.82
24.42,56.03,297.79,-5.96,6.12,-2.22,206.96
20.24,74.82,333.57,2.19,-8.62,5.65,758.87
38.93,66.79,326.77,-8.18,2.76,-4.26,1993.1
33.43,74.53,318.39,3.91,2.8,7.13,137.36
24.03,80.47,339.16,-1.82,-6.35,-1.61,45.76
48.74,71.83,257.48,-6.97,4.1,-2.9,667.3
35.89,75.11,151.38,9.58,4.11,3.95,1902.24
27.26,87.41,152.21,8.02,-3.0,0.26,40.08
35.02,61.96,258.93,7.87,-0.33,-3.25,445.42
40.39,64.37,237.05,5.78,6.66,-8.84,1206.32
22.29,78.71,240.25,3.84,0.46,-6.67,467.51
28.24,74.45,230.08,3.1,2.36,5.45,107.62
44.21,57.14,333.55,-7.88,-1.74,8.41,104.89
33.79,65.05,221.83,8.01,-7.01,-6.62,1118.32
36.4,68.71,321.25,7.62,9.96,1.39,1123.79
32.98,66.78,330.57,4.96,0.63,-9.32,1412.95
21.32,57.13,249.9,8.55,-3.27,-4.18,263.48
24.97,86.98,239.39,1.06,4.28,-1.02,999.7
18.85,80.49,302.2,-1.05,2.42,4.72,1201.9
26.28,69.25,291.59,9.36,-5.34,-9.12,444.75
21.5,77.2,215.71,-0.72,7.54,5.62,1094.69
45.31,85.89,170.51,2.83,-8.58,-5.95,1416.48
49.44,55.45,202.97,-2.54,2.11,5.19,1981.68
43.79,60.01,176.21,2.73,-0.44,2.51,1192.85
45.61,71.71,208.95,4.4,-3.64,-3.21,1722.38
27.26,81.96,202.36,2.49,6.53,4.48,1667.35
48.82,51.45,277.54,0.29,3.13,-5.27,1880.53
25.91,89.36,340.9,-4.0,5.19,-5.61,1446.11
48.54,68.2,287.15,2.88,-1.71,-8.77,426.2
49.84,64.37,335.33,8.17,8.85,-2.14,596.18
41.35,61.71,306.83,-9.86,-3.11,-8.05,1569.37
49.43,56.97,295.58,-7.32,0.62,-1.61,1041.65
37.09,81.66,232.81,-7.6,8.67,-9.8,502.62
27.79,88.22,214.96,8.46,-8.34,-6.9,1313.34
33.11,66.55,319.26,3.25,-7.82,8.65,1813.07
37.81,88.1,331.08,9.04,9.88,5.91,715.38
22.19,82.95,240.38,1.66,9.43,-5.28,1192.49
38.67,69.24,151.81,-0.77,5.43,4.37,1163.0
49.44,76.96,308.51,5.85,-0.32,3.37,253.95
25.7,67.4,207.01,-6.78,0.12,-6.46,180.49
43.78,72.35,151.98,-2.37,-4.86,-2.58,1778.85
47.24,52.32,311.0,-0.67,-1.35,8.27,1867.07
48.31,77.85,253.48,-4.03,-1.37,4.77,1808.48
48.8,52.11,287.04,-2.57,-9.28,5.21,793.31
35.64,82.68,332.94,-8.44,-0.94,1.28,575.24
49.32,83.0,258.23,-6.04,-0.4,3.31,1884.34
42.72,59.48,250.64,-3.29,3.32,0.17,1765.6
24.85,62.95,208.13,5.92,0.33,4.82,1639.63
34.31,69.25,211.04,-6.35,7.23,4.65,668.37
41.55,73.87,309.31,-3.07,-2.65,-9.38,1277.49
27.42,61.49,239.81,-8.7,-1.81,2.64,1500.84
39.22,73.7,182.71,1.14,1.43,2.6,1152.31
40.0,61.91,168.91,2.23,-5.95,-8.65,1204.01
24.88,52.22,244.58,7.31,-2.13,-1.79,1513.38
36.95,50.1,242.99,6.38,3.72,7.98,1533.66
43.15,54.05,280.69,-4.29,-1.76,9.07,479.9
34.97,81.69,244.21,-7.26,8.13,5.64,781.35
20.36,88.46,178.7,-6.88,2.31,-6.97,1562.37
20.27,67.08,251.56,9.38,-6.92,-2.51,522.9
30.71,70.51,331.36,3.46,-0.25,-6.35,1831.19
47.79,55.87,181.89,-9.15,5.3,3.04,1677.79
26.86,72.04,287.95,-7.26,2.87,5.46,1790.91
39.03,55.79,268.77,-0.28,7.71,7.68,594.6
26.66,74.45,299.72,-5.84,5.0,7.21,210.23
29.65,87.33,180.12,6.07,-8.77,-8.02,201.18
45.44,57.83,338.32,1.46,-7.75,-7.49,1111.82
41.87,80.58,274.19,2.25,2.99,8.19,611.18
22.86,50.94,319.41,-0.74,-5.23,6.88,527.04
32.86,65.02,199.32,-4.88,1.76,-0.79,444.81
20.88,54.43,297.88,1.79,5.84,-1.4,1124.2
34.43,64.1,306.21,4.34,1.54,1.06,1096.19
39.87,56.94,229.49,-2.58,-1.69,1.93,844.63
23.56,64.93,226.79,0.1,2.93,-4.92,276.88
28.67,66.7,281.56,6.79,-7.13,-1.93,1857.59
31.94,62.02,168.68,-7.03,4.46,2.39,855.87
47.59,76.26,297.12,0.9,3.94,-5.87,247.28
49.8,86.75,158.58,-3.03,0.29,9.98,74.16
21.35,66.02,188.12,4.06,-4.42,-4.34,305.19
42.83,57.69,282.83,-9.62,5.95,1.05,594.25
31.15,60.83,169.66,3.41,0.21,1.08,1260.19
31.77,84.16,344.37,-7.94,-8.82,-0.97,1941.87
42.63,72.87,323.68,-8.7,8.37,-5.17,544.14
47.55,68.2,275.26,4.49,5.35,1.31,1579.61
48.53,55.99,313.81,2.81,1.7,-8.18,1822.77
37.31,67.99,327.52,7.9,-1.26,-2.26,783.15
30.71,61.14,201.9,0.39,9.2,-5.51,506.55
43.63,87.73,319.88,0.6,5.5,-7.52,982.13
27.53,85.36,188.96,4.14,0.7,8.51,1793.42
36.92,53.36,232.67,-3.53,3.06,4.0,21.96
30.76,70.67,261.65,-9.26,-4.38,-6.62,973.26
39.7,59.0,292.78,-5.4,-6.09,8.99,1515.19
27.21,66.43,156.03,-5.24,-4.53,-5.68,1202.26
25.75,85.07,208.1,-3.29,-4.14,-5.29,994.68
47.55,71.1,271.7,8.87,4.79,-7.33,1107.23
23.05,63.37,75.22,6.1,-7.2,4.56,1238.46
35.18,58.32,305.01,8.72,5.55,1.42,1364.15
26.63,82.01,280.33,9.97,0.47,-8.83,712.37
21.17,74.98,196.88,-1.32,-2.31,-9.49,1034.75
21.08,68.72,179.19,-5.46,-3.99,0.65,547.14
25.26,58.7,275.81,1.2,0.26,3.03,1967.98
46.0,63.37,240.09,7.62,-3.65,6.46,374.58
28.47,88.39,183.79,-0.69,-1.41,-0.43,301.31
48.51,70.8,215.27,0.11,4.78,3.53,537.64
37.45,66.03,210.61,-7.31,2.52,4.67,1840.11
33.1,70.86,171.63,-1.59,4.96,2.26,1317.71
37.4,81.16,259.38,-2.26,4.26,-2.96,911.86
35.5,63.6,302.73,-2.97,6.3,-7.36,1850.79
42.76,57.15,265.09,7.75,-5.97,2.95,1800.29
28.47,73.4,315.26,-8.81,9.9,5.37,803.19
30.59,76.61,175.51,9.44,-0.48,-6.2,1127.28
46.82,78.51,237.12,-9.84,4.36,-0.1,1810.75
48.39,85.28,271.88,8.91,3.56,-2.06,638.8
46.78,64.85,285.2,0.96,1.32,-5.89,815.07
